分類,分類標題,字號,日期,摘要,關鍵詞,來源檔名
1-5,實地勘查暨到場指界案,字第0910120824號函,91年5月2日,一、查農業用地作農業使用認定及核發證明辦法第15條第2項「直轄市或縣（市）政府或……辦理實地會勘時，應通知土地所有權人或代理人到場指界及說明，如界址無法確定，應告知申請人向地政機關申請鑑界。」其目的係為確定現勘土地即為申請土地無誤，且如界址範圍尚有疑義時，仍可由地政機關之鑑界，予以釐清，以確保當事人權益。其於一般農業用地之買賣、繼承或贈與時，課以土地所有權人或其代理人指界之責，於實務執行上尚無爭議。惟法院拍賣案件因係債權之強制執行，如因土地所有權人無法現場指界，即駁回農業用地作農業使用證明書之申請案件，恐有剝奪權利人或義務人應有權益之虞。二、是以，法院拍賣之農業用地申請農業用地作農業使用證明書,查農業用地作農業使用認定及核發證明辦法第15條第2項、直轄市或縣、政府或、辦理實地會勘時、應通知土地所有權人或代理人到場指界及說明、如界址無法確定、應告知申請人向地政機關申請鑑界、其目的係為確定現勘土地即為申請土地無誤、且如界址範圍尚有疑義時、仍可由地政機關之鑑界,農業使用證明函釋part3.docx
1-6,相關單位參與審核機制案,字第1030713027號函,103年5月8日,查農業用地應符合作農業使用之認定基準，始得核發農業用地作農業使用證明書(以下簡稱農用證明)。所稱農業使用於農業發展條例第3條第12款業有明文定義，「指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍使用者。」本會並定有「農業用地農業使用認定及核發證明辦法」作為執行依據。查前開辦法第9條第1項第1款明定略以：「直轄市或縣（市）政府為辦理農業用地作農業使用之認定及證明書核發作業，得組成審查小組，其成員由農業、地政、建設（工務）、環境保護等有關機關（單位）派員組成之；依其業務性質分工如下：一、農業：業務聯繫與執行及現場是否作農業用途之認定工作。」是以，辦理農用證明核發作業，得,單位、查農業用地應符合作農業使用之認定基準、始得核發農業用地作農業使用證明書、以下簡稱農用證明、所稱農業使用於農業發展條例第3條第12款業有明文定義、指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍使用者,農業使用證明函釋part3.docx
1-6,相關單位參與審核機制案,字第0970147417號函,97年8月27日,本案宜請先查明該污染控制場址是否經劃定、公告為污染管制區，並依法管制其使用。又其限制使用之項目是否包括農耕及農舍或農業設施之新建、增建、改建、修建等。本案所稱污染控制場址如有經環保單位限制農耕之行為，則有關農業用地作農業使用證明書之核發宜請依本會89年10月13日（89）農企字第890010356號函釋（諒達）規定辦理。另該場址如未經環保單位限制新建、增建、改建、修建農舍或農業設施，則得依農業用地興建農舍辦法或農業用地容許作農業設施使用審查辦法之規定辦理。,增建、改建、本案宜請先查明該污染控制場址是否經劃定、公告為污染管制區、並依法管制其使用、又其限制使用之項目是否包括農耕及農舍或農業設施之新建、修建等、本案所稱污染控制場址如有經環保單位限制農耕之行為、則有關農業用地作農業使用證明書之核發宜請依本會89年10月13日、89,農業使用證明函釋part3.docx
1-6,相關單位參與審核機制案,字第0940104915號函,94年1月31日,一、有關農業用地作農業使用認定及核發證明辦法第10條第5款所定「環保單位：農業用地是否遭受污染不適作農業使用之認定」乙節，其訂定緣起及執行方式，本會前於89年10月13日以（89）農企字第890010356號函釋（影本如附），並副知 貴署在案，合先敘明。二、至其審查作業應由鄉（鎮、市）公所或縣（市）環境保護局執行乙節，因農業用地作農業使用證明書之審核係由縣（市）政府委任或委辦所轄鄉（鎮、市）公所辦理，故建議縣（市）環境保護局將轄區內列管有案之污染案件資料，送鄉（鎮、市）公所，作為審核之依據。,有關農業用地作農業使用認定及核發證明辦法第10條第5款所定、環保單位、農業用地是否遭受污染不適作農業使用之認定、乙節、其訂定緣起及執行方式、本會前於89年10月13日以、89、農企字第890010356號函釋、影本如附、並副知,農業使用證明函釋part3.docx
1-6,相關單位參與審核機制案,字第0910126111號函,91年5月20日,查本會89年10月13日(89)農企字第890010356號函所釋，係就因公害污染，致遭限制不得從事農業生產而閒置不用之農地，給予受害者救濟之途徑。有關來函所稱農地因回填爐石而經環保單位列管，宜請列管單位敘明其列管之目的為何以及該農地可否繼續作農業使用？如並未限制不得作農業使用，則無本會前函之適用。（行政院環境保護署89年10月24日環署廢字第0062488號函）請依行政院農業委員會函釋辦理。（89年10月13日(89)農企字第890010356號函）查農業發展條例第3條第1項第12款有關農業使用之定義係「指農業用地符合區域計畫法或都市計畫法土地使用分區管制之相關法令規定，並實際供農作、森林、,89、查本會89年10月13日、農企字第890010356號函所釋、係就因公害污染、致遭限制不得從事農業生產而閒置不用之農地、給予受害者救濟之途徑、有關來函所稱農地因回填爐石而經環保單位列管、宜請列管單位敘明其列管之目的為何以及該農地可否繼續作農業使用、如並未限制不得作農業使用、則無本會前函之適用,農業使用證明函釋part3.docx
1-7,不可抗力事由案,字第1070711145號函,107年5月16日,查農業用地作農業使用認定及核發證明辦法第4條第1款規定：「農業用地符合下列情形，且無第五條所定情形者，認定為作農業使用：一、農業用地實際作農作、森林、養殖、畜牧、保育使用者；其依規定辦理休耕、休養、停養或有不可抗力等事由而未使用者，亦得認定為作農業使用。」爰農業用地如係配合政府政策，依規定申請休耕、休養、停養者，得視為作農業使用。惟查現階段本會並無推動養殖漁業休養政策，故無辦理休養之相關規定措施。至嚴重地層下陷地區農地是否得認屬不可抗力之事由一節，所稱「不可抗力事由」係指原有農業使用之農業用地，因天然災害之變故，致無法繼續從事農業使用之事實，非其怠於耕作，得視為作農業使用。查經公告劃設為嚴重地,休養、得視為作農業使用、查農業用地作農業使用認定及核發證明辦法第4條第1款規定、農業用地符合下列情形、且無第五條所定情形者、認定為作農業使用、農業用地實際作農作、森林、養殖、畜牧,農業使用證明函釋part3.docx
1-7,不可抗力事由案,字第1040202976號函,104年2月17日,查農業用地應符合作農業使用之認定基準，始得核發農業用地作農業使用證明書(以下簡稱農用證明)。所稱農業使用於農業發展條例第3條第12款業有明文定義，「指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍使用者。但依規定辦理休耕、休養、停養或有不可抗力等事由，而未實際供農作、森林、養殖、畜牧等使用者，視為作農業使用。」是以，農業用地須依規定辦理休耕等，或因天然災害之不可抗力，導致無法實際供農作等使用者，始得視為作農業使用，合先敘明。至旨揭之農業用地倘非屬前開得視為作農業使用之情形，則應依個案土地使用狀況予以認定，亦即該土地如原已作農業使用，俟因停灌導致農業使用中斷，始得認屬因,森林、養殖、查農業用地應符合作農業使用之認定基準、始得核發農業用地作農業使用證明書、以下簡稱農用證明、所稱農業使用於農業發展條例第3條第12款業有明文定義、指農業用地依法實際供農作、畜牧、保育及設置相關之農業設施或農舍使用者、但依規定辦理休耕,農業使用證明函釋part3.docx
1-7,不可抗力事由案,字第1010114257號函,101年6月22日,一、依案附板橋區公所函援引本會90年10月8日(90)農企字第900153204號函，查該號函係針對原為農業用地經都市計畫變更為行水區、河川區或洪水平原一級管制區之土地，在未依水利法徵收前，如經查明仍作農業使用，得有適用農業發展條例第37條及第38條規定。又因法令修正，爰本案土地倘係符合上開情形，應依同條例第38條之1規定，審核發給農業發展條例第38條之1土地作農業使用證明書。 二、另查本會90年11月12日(90)農企字第900159023號函，則係指該土地為「農業用地」，惟因溪流改道而成溪床行水區致無法做農業使用，始認定屬不可抗力之情形，非為河川區土地皆可適用，仍應視個案實情審認之。,90、依案附板橋區公所函援引本會90年10月8日、農企字第900153204號函、查該號函係針對原為農業用地經都市計畫變更為行水區、河川區或洪水平原一級管制區之土地、在未依水利法徵收前、如經查明仍作農業使用、得有適用農業發展條例第37條及第38條規定、又因法令修正、爰本案土地倘係符合上開情形,農業使用證明函釋part3.docx
1-7,不可抗力事由案,字第0980105352號函,98年2月4日,查農業發展條例第3條第12款有關農業使用之定義「指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍等使用者。但依規定辦理休耕、休養、停養或『有不可抗力等事由』，而未實際供農作、森林、養殖、畜牧等使用者，視為作農業使用。」所稱不可抗力係指因天然災害之變故，諸如水流淹沒等，致無法從事農業使用之事實而言。至所稱「無灌溉用水」一節，查我國農業用地向有水田、旱田之分，無灌溉用水之旱田並非無法從事農業使用，故非屬該不可抗力所規範之範圍。（90年11月12日(90)農企字第900159023號函）一、依據農業用地作農業使用認定及核發證明辦法第7條但書「但有下列各款情形之一者，不得認定,森林、養殖、休養、應可認定為作農業使用、查農業發展條例第3條第12款有關農業使用之定義、指農業用地依法實際供農作、畜牧、保育及設置相關之農業設施或農舍等使用者、但依規定辦理休耕、停養或,農業使用證明函釋part3.docx
1-8,從來使用相關事宜案,字第0960168028號函,96年12月4日,有關農業用地作農業使用認定及核發證明辦法第5條第2款第2目「農業設施得為從來使用之證明文件」之執行疑義案，請依案附內政部82年3月5日台（82）內地字第8202898號函釋規定辦理。（95年6月21日農企字第0950132666號）一、查非都市土地使用管制規則第8條明定「土地使用編定後，其原有使用或原有建築物不合土地使用分區規定者，在政府令其變更使用或拆除建築物前，得為從來之使用。」惟依農業發展條例第3條第12款有關農業使用之定義「指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍等使用者。」故從來使用並不等同於農業使用，應無疑義。二、又農業用地作農業使用認定及核發證明,82、內政部82年台、有關農業用地作農業使用認定及核發證明辦法第5條第2款第2目、農業設施得為從來使用之證明文件、之執行疑義案、請依案附內政部82年3月5日台、內地字第8202898號函釋規定辦理、95年6月21日農企字第0950132666號、查非都市土地使用管制規則第8條明定、土地使用編定後,農業使用證明函釋part4.docx
1-9,農業用地作農業使用證明書之使用期限案,字第1010718937號函,101年5月10日,查農業用地作農業使用認定及核發證明辦法第11條及第12條分別明定：「直轄市或縣（市）政府受理申請案件後，應實地會勘...」、「申請案件經審查符合本條例第三條第十二款及本辦法第五條至第八條規定者，受理機關應核發農業用地作農業使用證明書。」換言之，農業用地作農業使用證明書之審核係以會勘當時認定現場情形，是否符合農業使用之認定基準，以作為該證明書准駁之依據，尚非可作為審核過去某一時點現況是否作農業使用之依據。（內政部91年8月1日台內中地字第0910011957號函）查「農業用地作農業使用證明書明定有效期間6個月，係課予申請證明書者需於6個月內完成賦稅減免之申請及土地移轉登記等手續，並非指該證明書之,查農業用地作農業使用認定及核發證明辦法第11條及第12條分別明定、直轄市或縣、政府受理申請案件後、應實地會勘、申請案件經審查符合本條例第三條第十二款及本辦法第五條至第八條規定者、受理機關應核發農業用地作農業使用證明書、換言之、農業用地作農業使用證明書之審核係以會勘當時認定現場情形、是否符合農業使用之認定基準、以作為該證明書准駁之依據,農業使用證明函釋part4.docx
1-10,補加發證明書事宜案,,,1-10 釋補加發證明書事宜案（90年8月9日(90)農企字第900139831號函）查「農業用地作農業使用認定及核發證明辦法」第18條第2項明定「依第16條第1項及第2項核發之證明書以1份為原則，申請者為同一申請案件要求核發多份證明書時，其超過部份應另收取證明書費，每一份以新台幣100元計算。」是以該補（加）發證明書規費之計算，應以該條之規定收取之。又同辦法第19條「申請人取得農業用地作農業使用證明書後，未於6個月內辦理第3條規定之事項者，該證明書自動失其效力。」因此，補（加）發證明書之核發日期應與原核發日期相同，則其申請補（加）發之時間似無須另行規定。,10、釋補加發證明書事宜案、90年8月9日、90、農企字第900139831號函、農業用地作農業使用認定及核發證明辦法、第18條第2項明定、依第16條第1項及第2項核發之證明書以1份為原則、申請者為同一申請案件要求核發多份證明書時、其超過部份應另收取證明書費,農業使用證明函釋part4.docx
1-11,法拍案件申請核發農業用地作農業使用證明書事宜案,字第1000162239號函,100年11月2日,一、依農業用地作農業使用認定及核發證明辦法第7條第2款規定，農業用地現場堆置與農業經營無關或妨礙耕作之障礙物、砂石、廢棄物者，不得認定為作農業使用。關於不動產拍定後，拍定人繼受取得原所有權人之權利義務範圍，應以權利移轉證書所載內容為準，此觀強制執行法第98條規定略以：「拍賣之不動產，買受人自領得執行法院所發給權利移轉證書之日起，取得該不動產所有權，債權人承受債務人之不動產者亦同。前項不動產原有之地上權、永佃權、地役權、典權及租賃關係隨同移轉。．．．」等語自明。買受人(拍定人)自領得執行法院所發給權利移轉證書之日起，即取得該不動產所有權。二、 至現土地所有權人(拍定人)有無就前違規行為事實負有「,拍定人、依農業用地作農業使用認定及核發證明辦法第7條第2款規定、農業用地現場堆置與農業經營無關或妨礙耕作之障礙物、砂石、廢棄物者、不得認定為作農業使用、關於不動產拍定後、拍定人繼受取得原所有權人之權利義務範圍、應以權利移轉證書所載內容為準、此觀強制執行法第98條規定略以,農業使用證明函釋part4.docx
1-11,法拍案件申請核發農業用地作農業使用證明書事宜案,字第0990145143號函,99年7月8日,一、依據財政部99年7月1日台財稅字第09900278140號函辦理，並復 貴府99年6月24日府農務字第0990119612號函。二、依據財政部前開函說明二略以：「...準此，作農業使用之農業用地經法院拍賣，如符合上開土地稅法不課徵土地增值稅之規定，權利人或義務人其中之一於法定期限內申請不課徵土地增值稅，並檢附土地稅法施行細則第58條規定之證明文件，稽徵機關即應依規定受理。」換言之，由權利人或義務人一方於規定期限內提出申請即可。三、有關法院拍賣土地，現土地所有權人（拍定人）如已申請取得該土地之農業用地作農業使用證明書，原土地所有權人另提出該土地之農業用地作農業使用證明書之申請時，倘有旨揭影響,依據財政部99年7月1日台財稅字第09900278140號函辦理、並復、貴府99年6月24日府農務字第0990119612號函、依據財政部前開函說明二略以、準此、作農業使用之農業用地經法院拍賣、如符合上開土地稅法不課徵土地增值稅之規定、權利人或義務人其中之一於法定期限內申請不課徵土地增值稅、並檢附土地稅法施行細則第58條規定之證明文件、稽徵機關即應依規定受理,農業使用證明函釋part4.docx
1-11,法拍案件申請核發農業用地作農業使用證明書事宜案,字第0970159831號函,97年10月28日,一、查農業發展條例第39條第1項明定：「依前二條規定申請不課徵土地增值稅或免徵遺產稅、贈與稅、田賦者，應檢具農業用地作農業使用證明書，向該管稅捐稽徵機關辦理。」因此，農業機關之權責係依法審核發給農業用地作農業使用證明書，至稅捐稽徵機關是否准予免稅，應由稅捐稽徵機關依法核處。二、本案侯君經 貴府稅捐稽徵處援引財政部91年函釋規定，否准其不課徵土地增值稅之申請，係屬稅捐稽徵機關之業務權責，倘有疑義，宜請其逕洽 貴府稅捐稽徵處。,查農業發展條例第39條第1項明定、依前二條規定申請不課徵土地增值稅或免徵遺產稅、贈與稅、田賦者、應檢具農業用地作農業使用證明書、向該管稅捐稽徵機關辦理、因此、農業機關之權責係依法審核發給農業用地作農業使用證明書、至稅捐稽徵機關是否准予免稅、應由稅捐稽徵機關依法核處,農業使用證明函釋part4.docx
1-11,法拍案件申請核發農業用地作農業使用證明書事宜案,字第0970153973號函,97年10月2日,一、查農路係屬與農業經營不可分離之設施，農民如因農業經營之必要，得依農業用地容許作農業設施使用審查作業要點之規定，申請農路之容許使用。惟配合政府施設供當地農產運銷使用、且屬與農業經營不可分離之農路，因非為該土地所有權人個人之農業生產需要，且係由政府機關主導施設，倘經該施設機關認定，得免申請農路之容許使用。二、又農業用地作農業使用證明書之申請人得為土地所有權人、承受人或其他權利關係人，本案土地經法院拍賣，稅捐稽徵主管機關既同時通知「原」土地所有權人及「現」土地所有權人（拍定人），均可持該筆土地之農業用地作農業使用證明書，申請退還法院預為扣繳之土地增值稅，前開二人依規定申請核發該筆土地之農業用地作,土地所有權人、拍定人、查農路係屬與農業經營不可分離之設施、農民如因農業經營之必要、得依農業用地容許作農業設施使用審查作業要點之規定、申請農路之容許使用、惟配合政府施設供當地農產運銷使用、且屬與農業經營不可分離之農路、因非為該土地所有權人個人之農業生產需要、且係由政府機關主導施設,農業使用證明函釋part4.docx
1-11,法拍案件申請核發農業用地作農業使用證明書事宜案,字第0960133462號函,96年6月14日,一、查農業用地作農業使用證明書之申請人得為土地所有權人、承受人或其他權利關係人，本案土地經法院拍賣，原土地所有權人或拍定人為申請退還法院預為扣繳之土地增值稅，依規定申請核發該筆土地之農業用地作農業使用證明書，並無不可；至該土地增值稅究應退還予原土地所有權人或拍定人，應由稅捐稽徵主管機關依法核處。二、另「依『農業用地作農業使用認定及核發證明辦法』核發之證明書，如因勘查之疏忽或其他原因，致核發錯誤，自得撤銷其證明書...」本會89年8月29日（89）農企字第890142997號函釋（諒達）有案。因此，本案原核發之農業用地作農業使用證明書是否核發有誤，而需予以撤銷一節，宜請本於權責核處。,查農業用地作農業使用證明書之申請人得為土地所有權人、承受人或其他權利關係人、本案土地經法院拍賣、原土地所有權人或拍定人為申請退還法院預為扣繳之土地增值稅、依規定申請核發該筆土地之農業用地作農業使用證明書、並無不可、至該土地增值稅究應退還予原土地所有權人或拍定人、應由稅捐稽徵主管機關依法核處、農業用地作農業使用認定及核發證明辦法、核發之證明書,農業使用證明函釋part4.docx
1-11,法拍案件申請核發農業用地作農業使用證明書事宜案,字第0920101942號函,92年1月14日,有關金融機構申請法院拍賣債務人之農業用地後，可否以債權人身分申請退還已扣繳之土地增值稅案，經財政部前函檢附該部89年5月30日台財稅第0890453884號函釋略以：「查土地稅法第39條之3第2項……。法院拍賣之農業用地係屬無須申報土地移轉現值之案件，其合於同法第39條之2第1項規定要件者，依上開規定，應由權利人或義務人提出申請，債權人尚不得代位申請不課徵土地增值稅。」準此，農業金融機構既無法以債權人身分，申請退還已扣繳之土地增值稅，應無申請核發農業用地作農業使用證明書之必要。,有關金融機構申請法院拍賣債務人之農業用地後、可否以債權人身分申請退還已扣繳之土地增值稅案、經財政部前函檢附該部89年5月30日台財稅第0890453884號函釋略以、查土地稅法第39條之3第2項、法院拍賣之農業用地係屬無須申報土地移轉現值之案件、其合於同法第39條之2第1項規定要件者、依上開規定、應由權利人或義務人提出申請、債權人尚不得代位申請不課徵土地增值稅、準此,農業使用證明函釋part4.docx
1-12,繼承案件申請時間認定案,字第0970119064號函,97年4月11日,查民法第1147條及第1148條分別明定「繼承，因被繼承人死亡而開始。」「繼承人自繼承開始時，除本法另有規定外，承受被繼承人財產上之一切權利義務。」準此，被繼承人死亡時，繼承即已發生，故被繼承之土地於被繼承人死亡時，倘屬農業發展條例施行細則第2條所定之農業用地或符合農業發展條例施行細則第14條之1之土地，均可申請核發農業用地作農業使用證明書。（註：農業發展條例施行細則第14條之1已移列至農業發展條例第38條之1）,查民法第1147條及第1148條分別明定、繼承、因被繼承人死亡而開始、繼承人自繼承開始時、除本法另有規定外、承受被繼承人財產上之一切權利義務、準此、被繼承人死亡時、繼承即已發生、故被繼承之土地於被繼承人死亡時,農業使用證明函釋part4.docx
